resigned,department,bracket_salary,salary,region,termination_date,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,Rand
0,sales,"medium, 68000",68000,APAC,2016-12-12T00:00:00Z,0.38,0.59,4,276,2,0,0,1545
0,IT,"medium, 76000",76000,US,2017-11-19T00:00:00Z,0.85,0.69,3,263,3,0,0,1153
0,product_mng,"low, 47000",47000,US,2018-01-10T00:00:00Z,0.25,0.9,6,229,8,0,0,419
0,sales,"low, 56000",56000,Europe,2009-10-09T00:00:00Z,0.88,0.72,2,144,4,1,0,1094
0,technical,"medium, 77000",77000,US,2015-10-28T00:00:00Z,0.51,0.75,3,234,2,1,0,1742
0,technical,"medium, 81000",81000,US,2016-07-30T00:00:00Z,0.15,0.9,5,284,4,0,0,1501
0,support,"low, 51000",51000,US,2011-03-31T00:00:00Z,0.74,0.5,4,265,3,0,0,1142
1,technical,"medium, 77000",77000,US,2017-07-13T00:00:00Z,0.43,0.49,2,160,3,0,0,1183
0,support,"medium, 62000",62000,US,2017-06-06T00:00:00Z,0.95,0.73,3,243,3,1,0,813
0,accounting,"low, 51000",51000,US,2017-06-17T00:00:00Z,0.7,0.8,4,183,2,0,0,5
0,technical,"low, 60000",60000,Europe,2017-04-21T00:00:00Z,1,1,5,142,4,0,0,138
0,support,"medium, 63000",63000,US,2009-07-01T00:00:00Z,0.88,0.53,3,188,3,0,0,761
0,marketing,"low, 47000",47000,Europe,2016-05-19T00:00:00Z,0.66,0.87,4,139,3,0,0,1640
1,support,"high, 167000",167000,US,2015-03-02T00:00:00Z,0.84,0.87,4,246,6,0,0,886
0,support,"low, 55000",55000,Europe,2015-07-20T00:00:00Z,0.76,0.69,4,253,3,0,0,1133
1,sales,"medium, 73000",73000,Europe,2017-11-21T00:00:00Z,0.1,0.79,6,271,4,0,0,1784
0,hr,"medium, 78000",78000,Europe,2015-12-23T00:00:00Z,0.67,0.72,4,192,3,1,0,157
0,accounting,"low, 33000",33000,Europe,2018-01-09T00:00:00Z,0.15,0.42,4,238,3,0,0,1949
0,technical,"medium, 80000",80000,Europe,2017-03-17T00:00:00Z,0.75,0.53,3,222,2,0,0,1271
0,sales,"low, 58000",58000,US,2016-06-18T00:00:00Z,0.77,0.66,6,181,4,0,0,338
0,product_mng,"low, 55000",55000,US,2016-03-22T00:00:00Z,0.59,0.87,4,183,2,0,0,1467
0,technical,"medium, 74000",74000,Canada,2017-07-12T00:00:00Z,0.64,0.5,3,261,2,0,0,586
0,support,"low, 46000",46000,Europe,2016-10-17T00:00:00Z,0.2,0.69,6,236,4,0,0,1518
0,RandD,"medium, 90000",90000,Canada,2015-11-23T00:00:00Z,0.89,0.84,5,168,2,0,0,1756
0,support,"medium, 87000",87000,US,2008-07-28T00:00:00Z,0.33,0.95,4,280,3,0,0,1092
0,sales,"low, 110000",110000,US,2016-05-18T00:00:00Z,0.18,0.51,6,227,2,0,0,470
0,support,"medium, 63000",63000,Canada,2009-04-22T00:00:00Z,0.57,0.39,3,193,6,0,0,1832
0,support,"low, 44000",44000,Canada,2015-05-19T00:00:00Z,0.6,0.98,5,213,3,0,0,387
1,IT,"low, 56000",56000,US,2008-05-23T00:00:00Z,0.47,0.5,4,254,4,0,0,797
0,hr,"medium, 82000",82000,US,2016-05-21T00:00:00Z,0.9,0.91,5,176,3,0,0,1904
0,sales,"medium, 62000",62000,US,2011-08-11T00:00:00Z,0.6,0.62,3,238,4,0,1,90
1,technical,"low, 32000",32000,Europe,2015-12-02T00:00:00Z,0.81,0.95,5,238,6,0,0,354
0,technical,"medium, 70000",70000,Canada,2016-06-20T00:00:00Z,0.95,0.49,3,188,3,0,0,1468
0,technical,"medium, 86000",86000,US,2015-10-30T00:00:00Z,0.95,0.48,5,214,6,1,1,609
1,support,"medium, 89000",89000,US,2008-06-18T00:00:00Z,0.42,0.47,2,135,3,0,0,181
1,RandD,"medium, 61000",61000,US,2017-01-24T00:00:00Z,0.46,0.54,2,138,3,0,0,368
0,support,"medium, 74000",74000,US,2009-04-04T00:00:00Z,0.99,0.7,5,195,3,0,0,244
0,marketing,"medium, 85000",85000,US,2017-02-06T00:00:00Z,0.81,0.72,3,232,3,1,0,616
0,technical,"medium, 81000",81000,Europe,2017-03-23T00:00:00Z,0.96,1,4,167,2,1,0,40
0,product_mng,"low, 60000",60000,US,2017-11-29T00:00:00Z,0.96,0.84,3,264,3,0,0,1216
0,technical,"low, 58000",58000,Europe,2015-12-13T00:00:00Z,0.88,0.57,4,261,4,0,0,1330
0,sales,"medium, 86000",86000,Europe,2017-05-05T00:00:00Z,0.5,0.59,4,192,2,0,0,394
0,technical,"low, 38000",38000,US,2017-05-22T00:00:00Z,0.57,0.62,5,141,3,0,0,268
1,IT,"medium, 64000",64000,Canada,2016-06-10T00:00:00Z,0.41,0.48,2,130,3,0,0,397
0,support,"medium, 63000",63000,US,2010-01-15T00:00:00Z,0.48,0.53,4,271,3,0,0,1638
0,sales,"medium, 74000",74000,US,2018-01-07T00:00:00Z,0.88,0.65,3,268,2,0,0,1349
0,support,"low, 31000",31000,US,2015-02-16T00:00:00Z,0.92,0.64,4,217,4,0,0,1297
1,technical,"medium, 74000",74000,US,2016-09-06T00:00:00Z,0.76,0.98,5,217,6,0,0,1771
1,IT,"medium, 69000",69000,US,2009-03-25T00:00:00Z,0.89,0.87,5,255,5,0,0,1235
1,sales,"low, 35000",35000,US,2016-02-14T00:00:00Z,0.44,0.49,2,127,3,1,0,1074
1,technical,"medium, 77000",77000,Europe,2015-12-24T00:00:00Z,0.1,0.96,6,310,5,0,0,264
0,support,"low, 46000",46000,Canada,2016-10-25T00:00:00Z,0.91,1,4,125,4,0,0,1300
0,marketing,"low, 56000",56000,Canada,2012-08-09T00:00:00Z,0.97,0.64,3,237,3,0,0,1641
0,support,"medium, 82000",82000,Europe,2016-02-21T00:00:00Z,0.6,0.8,4,222,2,0,0,1063
0,technical,"medium, 87000",87000,US,2014-02-15T00:00:00Z,0.89,0.66,4,176,3,0,0,1600
0,sales,"medium, 79000",79000,US,2016-09-07T00:00:00Z,0.63,0.86,3,245,2,0,0,1749
0,RandD,"low, 30000",30000,US,2008-12-12T00:00:00Z,0.64,0.99,3,214,2,0,0,514
0,sales,"medium, 81000",81000,US,2010-01-01T00:00:00Z,0.63,0.54,4,147,4,0,0,1760
0,technical,"medium, 87000",87000,US,2012-03-18T00:00:00Z,0.97,0.79,5,259,3,0,1,592
1,IT,"low, 35000",35000,US,2015-02-08T00:00:00Z,0.45,0.5,2,126,3,0,0,1968
0,sales,"low, 41000",41000,US,2009-01-27T00:00:00Z,0.7,0.63,3,157,2,0,0,1495
0,technical,"low, 37000",37000,US,2008-12-19T00:00:00Z,0.91,0.89,2,219,4,0,0,1042
1,sales,"medium, 88000",88000,US,2010-08-25T00:00:00Z,0.48,0.57,4,270,4,0,0,138
0,RandD,"low, 35000",35000,US,2017-10-09T00:00:00Z,0.55,0.74,3,211,3,1,0,764
1,sales,"low, 46000",46000,APAC,2017-03-04T00:00:00Z,0.1,0.77,7,250,5,0,0,1603
1,RandD,"medium, 77000",77000,Europe,2015-10-01T00:00:00Z,0.37,0.51,2,155,3,0,0,1637
1,technical,"low, 51000",51000,US,2017-01-19T00:00:00Z,0.1,0.92,7,273,4,0,0,411
0,sales,"medium, 80000",80000,US,2010-12-08T00:00:00Z,0.95,0.86,2,263,4,0,0,1095
0,sales,"medium, 61000",61000,US,2009-01-10T00:00:00Z,0.96,0.99,4,233,3,0,0,1862
0,sales,"low, 58000",58000,US,2009-04-20T00:00:00Z,0.63,0.49,4,151,3,0,0,874
0,IT,"low, 54000",54000,US,2016-01-09T00:00:00Z,0.84,0.88,3,194,3,0,0,1187
0,sales,"medium, 87000",87000,Europe,2010-12-29T00:00:00Z,0.36,0.4,4,114,4,1,0,421
0,support,"high, 115000",115000,US,2017-07-10T00:00:00Z,0.2,0.99,5,151,3,1,0,975
0,RandD,"medium, 65000",65000,US,2017-11-18T00:00:00Z,0.86,0.66,4,191,2,0,0,889
0,sales,"medium, 87000",87000,Europe,2016-12-06T00:00:00Z,0.84,0.56,3,266,3,0,0,628
1,IT,"low, 59000",59000,US,2008-05-26T00:00:00Z,0.78,0.66,3,164,3,0,0,1057
1,RandD,"low, 39000",39000,US,2009-09-28T00:00:00Z,0.43,0.52,2,147,3,0,0,170
0,sales,"medium, 70000",70000,US,2016-01-03T00:00:00Z,0.49,0.71,3,255,2,1,0,1736
0,technical,"medium, 71000",71000,Europe,2018-01-13T00:00:00Z,0.57,0.67,3,207,2,0,0,1171
0,hr,"medium, 64000",64000,Canada,2008-01-11T00:00:00Z,0.85,0.79,3,243,2,0,1,1841
1,support,"low, 46000",46000,US,2008-07-26T00:00:00Z,0.36,0.56,2,132,3,0,0,1059
0,IT,"low, 50000",50000,US,2017-02-04T00:00:00Z,0.96,0.6,3,160,10,0,0,1646
0,technical,"medium, 77000",77000,US,2016-04-18T00:00:00Z,0.72,0.72,4,175,4,0,0,1492
1,IT,"medium, 76000",76000,US,2017-06-03T00:00:00Z,0.36,0.47,2,136,3,0,0,584
1,product_mng,"low, 59000",59000,US,2017-10-25T00:00:00Z,0.39,0.5,2,142,3,0,0,1529
0,IT,"medium, 86000",86000,US,2016-06-15T00:00:00Z,0.65,0.63,4,143,8,0,0,524
0,sales,"low, 34000",34000,US,2016-09-23T00:00:00Z,0.84,0.84,6,261,5,0,0,507
0,marketing,"low, 60000",60000,US,2016-02-06T00:00:00Z,0.68,0.54,3,270,4,1,0,290
0,support,"low, 45000",45000,Canada,2018-01-27T00:00:00Z,0.76,0.56,3,154,2,0,0,702
0,technical,"low, 50000",50000,US,2010-07-07T00:00:00Z,0.65,0.92,4,242,2,0,0,1556
1,technical,"medium, 86000",86000,US,2016-01-17T00:00:00Z,0.42,0.57,2,159,3,0,0,1677
0,marketing,"low, 35000",35000,US,2016-10-14T00:00:00Z,0.53,0.37,3,180,3,0,0,857
0,sales,"medium, 80000",80000,US,2016-07-10T00:00:00Z,0.91,0.49,6,272,6,0,0,1008
1,sales,"low, 38000",38000,US,2017-04-12T00:00:00Z,0.1,0.94,7,281,4,0,0,669
0,support,"low, 34000",34000,Canada,2015-02-21T00:00:00Z,0.86,0.71,5,273,3,0,0,1065
0,technical,"medium, 89000",89000,US,2015-07-21T00:00:00Z,0.92,0.65,4,135,3,0,0,1831
0,support,"low, 60000",60000,US,2009-07-28T00:00:00Z,0.96,0.94,3,182,3,0,0,1274
0,IT,"low, 48000",48000,US,2010-09-19T00:00:00Z,0.57,0.66,4,158,2,0,0,1296
0,RandD,"medium, 68000",68000,Europe,2016-06-09T00:00:00Z,0.61,0.84,5,104,4,0,0,1980
0,hr,"medium, 77000",77000,US,2009-10-14T00:00:00Z,0.52,0.38,2,103,3,0,0,161
0,sales,"low, 52000",52000,Europe,2017-06-24T00:00:00Z,0.91,0.81,4,139,2,0,0,806
0,support,"medium, 62000",62000,US,2017-12-30T00:00:00Z,0.45,0.66,3,111,4,0,0,401
1,sales,"medium, 64000",64000,US,2017-12-11T00:00:00Z,0.44,0.45,2,132,3,0,0,711
0,support,"low, 42000",42000,US,2016-01-02T00:00:00Z,0.67,0.64,3,198,2,1,0,331
0,marketing,"low, 52000",52000,US,2017-07-07T00:00:00Z,0.62,0.94,4,252,4,0,0,1005
0,technical,"low, 33000",33000,US,2009-07-04T00:00:00Z,1,0.99,4,184,4,0,0,957
1,sales,"low, 50000",50000,US,2017-11-07T00:00:00Z,0.37,0.52,2,143,3,0,0,1343
0,hr,"medium, 79000",79000,Canada,2012-10-16T00:00:00Z,0.86,0.91,4,234,3,1,0,1051
0,marketing,"medium, 85000",85000,US,2018-01-09T00:00:00Z,0.38,0.52,2,171,3,0,0,1275
0,sales,"low, 52000",52000,US,2015-04-07T00:00:00Z,0.73,0.95,3,156,2,0,0,1557
0,support,"low, 44000",44000,US,2015-05-31T00:00:00Z,0.86,0.62,4,186,3,0,0,371
0,support,"low, 39000",39000,US,2015-06-15T00:00:00Z,0.61,0.5,4,217,4,1,0,384
1,accounting,"low, 51000",51000,US,2017-02-14T00:00:00Z,0.78,0.89,5,274,6,0,0,316
1,sales,"medium, 84000",84000,US,2017-01-05T00:00:00Z,0.1,0.79,6,291,4,0,0,250
1,management,"low, 56000",56000,US,2008-07-21T00:00:00Z,0.41,0.48,2,139,3,0,0,885
1,technical,"medium, 80000",80000,APAC,2017-06-02T00:00:00Z,0.77,0.85,5,276,5,0,0,1756
0,IT,"low, 58000",58000,US,2016-10-14T00:00:00Z,0.8,0.8,3,271,4,0,0,1095
1,technical,"low, 37000",37000,US,2009-02-25T00:00:00Z,0.39,0.53,2,131,3,0,0,658
0,sales,"medium, 76000",76000,US,2010-05-28T00:00:00Z,0.92,0.51,4,167,3,1,0,1274
0,RandD,"low, 51000",51000,US,2015-12-26T00:00:00Z,0.6,0.52,5,140,3,0,0,1136
1,support,"low, 56000",56000,Canada,2016-02-09T00:00:00Z,0.09,0.8,6,301,5,0,0,704
0,product_mng,"medium, 61000",61000,US,2015-09-07T00:00:00Z,0.8,0.58,4,189,2,0,0,1724
0,sales,"medium, 74000",74000,Canada,2008-08-20T00:00:00Z,0.47,0.6,4,263,5,0,0,992
0,support,"medium, 64000",64000,Canada,2013-05-06T00:00:00Z,0.22,0.84,3,131,5,1,0,280
1,sales,"medium, 88000",88000,US,2017-09-07T00:00:00Z,0.44,0.48,2,158,3,0,0,613
0,technical,"low, 58000",58000,US,2017-09-08T00:00:00Z,0.9,0.98,2,243,3,0,0,683
0,RandD,"medium, 89000",89000,US,2016-10-07T00:00:00Z,0.6,0.95,5,205,3,0,0,1522
1,management,"high, 139000",139000,US,2016-10-22T00:00:00Z,0.11,0.9,6,264,4,0,0,664
1,sales,"medium, 81000",81000,US,2017-02-23T00:00:00Z,0.44,0.51,2,140,3,0,0,389
0,sales,"medium, 64000",64000,US,2017-04-19T00:00:00Z,0.69,0.89,4,174,2,0,0,703
0,product_mng,"low, 33000",33000,US,2009-01-11T00:00:00Z,0.54,0.51,4,137,4,0,1,1722
0,RandD,"medium, 67000",67000,Europe,2011-12-24T00:00:00Z,0.96,0.63,4,142,4,0,0,861
0,hr,"medium, 67000",67000,US,2015-08-25T00:00:00Z,0.64,0.5,3,146,3,0,0,1620
0,sales,"medium, 85000",85000,Europe,2016-10-12T00:00:00Z,0.82,0.84,3,139,2,1,0,395
1,IT,"medium, 66000",66000,US,2016-11-29T00:00:00Z,0.43,0.51,2,136,3,0,0,1339
0,technical,"low, 46000",46000,US,2009-09-18T00:00:00Z,0.62,0.7,4,141,4,0,0,1806
1,accounting,"low, 52000",52000,US,2015-07-23T00:00:00Z,0.39,0.55,2,159,3,0,0,521
0,sales,"medium, 63000",63000,US,2016-04-29T00:00:00Z,0.92,0.97,4,199,3,0,0,1410
1,support,"medium, 80000",80000,Europe,2015-04-22T00:00:00Z,0.77,0.9,4,237,5,0,0,1638
0,sales,"medium, 84000",84000,Europe,2017-10-19T00:00:00Z,0.52,0.53,2,163,2,0,0,586
0,technical,"low, 60000",60000,US,2016-01-27T00:00:00Z,0.63,0.86,4,169,2,0,0,1768
0,sales,"medium, 63000",63000,US,2016-12-22T00:00:00Z,0.47,0.55,4,122,5,1,0,402
0,sales,"low, 35000",35000,US,2012-11-30T00:00:00Z,0.89,0.66,4,252,3,0,0,184
0,sales,"low, 54000",54000,US,2015-02-11T00:00:00Z,0.97,0.68,3,185,2,0,0,1252
0,IT,"low, 51000",51000,US,2015-09-17T00:00:00Z,0.49,0.67,2,190,8,0,0,882
0,support,"low, 44000",44000,Europe,2017-09-03T00:00:00Z,0.93,0.48,3,147,3,0,0,1504
0,technical,"high, 206000",206000,Europe,2016-02-28T00:00:00Z,0.54,0.64,3,190,7,0,0,1164
0,hr,"low, 57000",57000,US,2008-01-12T00:00:00Z,0.63,0.64,3,180,3,0,0,1594
0,technical,"low, 33000",33000,US,2010-01-22T00:00:00Z,0.89,0.77,3,144,3,0,0,527
0,RandD,"high, 150000",150000,Canada,2015-07-22T00:00:00Z,0.66,0.96,3,175,2,0,0,1937
0,sales,"low, 55000",55000,US,2009-12-18T00:00:00Z,0.62,0.49,4,174,3,0,0,1087
0,technical,"medium, 80000",80000,US,2009-01-08T00:00:00Z,0.67,0.57,4,165,3,0,0,698
0,support,"medium, 61000",61000,Europe,2008-07-22T00:00:00Z,0.75,0.82,3,227,2,0,0,1129
0,product_mng,"medium, 86000",86000,US,2016-04-03T00:00:00Z,0.55,0.63,4,218,2,0,0,145
0,support,"low, 40000",40000,US,2016-01-18T00:00:00Z,0.24,0.58,5,279,4,0,0,1382
0,hr,"medium, 61000",61000,US,2016-08-07T00:00:00Z,0.73,0.59,3,219,2,0,0,680
0,sales,"low, 60000",60000,US,2010-12-01T00:00:00Z,0.5,0.59,3,260,3,0,0,648
0,product_mng,"low, 31000",31000,US,2015-12-06T00:00:00Z,0.91,0.97,4,183,3,0,0,1315
0,technical,"low, 47000",47000,US,2015-10-28T00:00:00Z,0.98,0.89,4,218,2,0,0,148
1,sales,"medium, 88000",88000,US,2017-03-27T00:00:00Z,0.36,0.46,2,157,3,0,0,73
0,sales,"medium, 82000",82000,US,2008-02-04T00:00:00Z,0.93,0.65,5,201,3,0,0,309
0,management,"medium, 87000",87000,US,2009-04-04T00:00:00Z,0.71,0.89,3,222,3,0,0,1656
0,sales,"medium, 66000",66000,Europe,2008-09-20T00:00:00Z,0.9,0.59,6,269,4,1,0,1398
0,RandD,"medium, 90000",90000,US,2016-06-07T00:00:00Z,0.56,0.54,4,191,2,1,1,1154
0,technical,"low, 51000",51000,US,2016-03-26T00:00:00Z,0.63,0.67,5,169,2,0,0,1189
1,sales,"low, 57000",57000,US,2015-12-13T00:00:00Z,0.11,0.92,7,307,4,0,0,1524
0,support,"medium, 70000",70000,US,2015-04-10T00:00:00Z,0.74,0.93,5,140,3,0,0,300
0,support,"low, 35000",35000,US,2015-04-24T00:00:00Z,0.71,0.84,3,139,2,0,0,1302
0,sales,"low, 53000",53000,US,2016-07-11T00:00:00Z,0.53,0.71,4,227,3,0,0,1452
0,management,"low, 57000",57000,US,2016-12-26T00:00:00Z,0.54,0.37,2,176,2,0,0,904
1,marketing,"low, 35000",35000,US,2017-11-12T00:00:00Z,0.43,0.53,2,146,3,0,0,1083
1,IT,"medium, 81000",81000,Europe,2016-12-25T00:00:00Z,0.42,0.53,2,131,3,0,0,932
1,sales,"medium, 74000",74000,US,2016-02-24T00:00:00Z,0.45,0.57,2,148,3,0,0,15
0,technical,"low, 53000",53000,US,2014-07-29T00:00:00Z,0.49,0.54,4,247,3,1,0,606
0,sales,"medium, 76000",76000,US,2015-05-16T00:00:00Z,0.44,0.68,2,120,2,0,0,1913
0,marketing,"high, 122000",122000,US,2009-05-16T00:00:00Z,0.48,0.39,4,272,3,0,0,1910
0,management,"medium, 78000",78000,Europe,2015-10-18T00:00:00Z,0.42,0.53,3,181,5,0,0,1547
0,technical,"medium, 98000",98000,US,2015-09-18T00:00:00Z,0.62,0.81,3,245,2,1,0,978
0,hr,"low, 39000",39000,US,2008-07-06T00:00:00Z,0.37,0.63,4,167,3,0,0,360
0,support,"medium, 65000",65000,US,2008-07-17T00:00:00Z,0.99,0.67,5,153,2,0,0,1793
0,technical,"low, 47000",47000,US,2015-09-13T00:00:00Z,0.61,0.7,4,161,3,1,0,1784
0,technical,"low, 50000",50000,US,2015-12-10T00:00:00Z,0.95,0.88,3,199,3,0,0,1107
0,technical,"low, 45000",45000,US,2009-08-28T00:00:00Z,0.57,0.91,4,224,10,0,0,275
1,technical,"low, 43000",43000,US,2011-10-16T00:00:00Z,0.1,0.77,5,276,4,0,0,1601
0,technical,"medium, 90000",90000,US,2017-03-08T00:00:00Z,0.98,0.42,5,226,3,0,0,1058
0,sales,"high, 126000",126000,US,2016-08-20T00:00:00Z,0.15,0.53,4,205,5,1,0,265
0,sales,"medium, 65000",65000,US,2016-12-25T00:00:00Z,0.9,0.49,3,259,6,0,0,1148
0,technical,"medium, 77000",77000,US,2016-02-08T00:00:00Z,0.48,0.53,3,211,4,0,0,471
0,marketing,"medium, 74000",74000,US,2016-06-08T00:00:00Z,0.73,0.59,6,121,5,0,0,673
1,sales,"low, 58000",58000,US,2010-05-16T00:00:00Z,0.11,0.91,7,287,4,0,0,125
0,product_mng,"low, 51000",51000,Europe,2015-08-31T00:00:00Z,0.13,0.53,6,173,4,0,0,1324
0,sales,"low, 56000",56000,US,2014-02-28T00:00:00Z,0.8,0.87,4,220,2,0,0,1051
1,IT,"low, 52000",52000,US,2016-01-29T00:00:00Z,0.45,0.54,2,140,3,0,0,469
0,hr,"low, 52000",52000,US,2016-03-11T00:00:00Z,0.98,0.91,4,240,3,0,0,907
0,sales,"low, 42000",42000,US,2017-08-26T00:00:00Z,0.93,0.55,3,134,3,1,0,1824
0,sales,"medium, 62000",62000,Canada,2016-05-06T00:00:00Z,0.52,0.53,5,182,2,0,0,1150
0,sales,"low, 59000",59000,Europe,2017-12-03T00:00:00Z,0.76,0.84,4,236,4,0,0,179
0,IT,"medium, 72000",72000,Europe,2013-05-24T00:00:00Z,0.91,0.72,3,213,3,0,0,1671
0,technical,"low, 40000",40000,Europe,2011-05-31T00:00:00Z,0.71,0.81,3,141,3,0,0,110
1,sales,"medium, 83000",83000,US,2017-05-24T00:00:00Z,0.36,0.45,2,127,3,0,0,1002
0,support,"low, 33000",33000,Europe,2015-03-15T00:00:00Z,0.66,0.65,3,234,2,0,0,1139
0,sales,"high, 181000",181000,US,2015-04-28T00:00:00Z,0.93,0.59,3,233,3,0,0,1179
0,sales,"low, 35000",35000,US,2017-07-08T00:00:00Z,0.44,0.42,2,199,2,0,0,1816
1,sales,"low, 34000",34000,US,2016-06-02T00:00:00Z,0.37,0.54,2,145,3,0,0,1655
0,support,"medium, 77000",77000,Europe,2014-05-02T00:00:00Z,0.59,0.69,3,146,3,0,0,608
1,IT,"medium, 87000",87000,Europe,2015-08-24T00:00:00Z,0.41,0.54,2,153,3,1,0,1763
1,sales,"low, 30000",30000,US,2010-10-27T00:00:00Z,0.78,0.66,3,164,3,0,0,510
0,technical,"high, 133000",133000,Europe,2017-11-27T00:00:00Z,0.88,0.91,4,233,4,0,0,955
0,hr,"medium, 63000",63000,Canada,2011-08-06T00:00:00Z,0.2,0.52,5,218,5,0,0,1142
0,sales,"medium, 78000",78000,US,2015-02-06T00:00:00Z,0.58,0.99,3,207,10,0,0,1130
0,technical,"medium, 85000",85000,US,2017-10-15T00:00:00Z,0.96,0.92,3,196,4,0,0,1913
0,sales,"low, 56000",56000,US,2015-05-20T00:00:00Z,0.88,0.8,3,133,3,0,0,814
0,product_mng,"medium, 66000",66000,Canada,2012-09-27T00:00:00Z,0.61,0.51,3,156,3,1,0,453
0,management,"high, 155000",155000,Europe,2016-09-15T00:00:00Z,0.93,0.86,4,192,4,0,0,353
0,RandD,"medium, 67000",67000,US,2016-04-04T00:00:00Z,0.61,0.68,5,225,4,0,0,1063
0,technical,"low, 58000",58000,US,2015-11-30T00:00:00Z,0.68,0.61,6,236,3,0,0,959
0,sales,"high, 168000",168000,US,2015-07-04T00:00:00Z,0.74,0.97,2,135,4,0,0,1890
0,support,"low, 33000",33000,Canada,2016-02-21T00:00:00Z,0.66,0.93,4,248,3,0,0,339
0,marketing,"medium, 86000",86000,US,2015-02-08T00:00:00Z,0.73,0.57,3,146,2,0,0,1628
0,accounting,"low, 30000",30000,US,2017-08-29T00:00:00Z,0.74,0.59,4,155,3,0,0,1713
1,IT,"medium, 80000",80000,US,2016-11-02T00:00:00Z,0.48,0.78,2,198,2,0,0,1759
0,sales,"medium, 68000",68000,US,2008-06-01T00:00:00Z,0.65,0.48,3,131,3,1,0,983
1,technical,"medium, 86000",86000,US,2016-10-23T00:00:00Z,0.33,0.88,6,219,5,0,0,261
