,salary,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,resigned
43,62000,0.95,0.73,3,243,3,1,0,0
44,51000,0.7,0.8,4,183,2,0,0,0
45,60000,1.0,1.0,5,142,4,0,0,0
46,63000,0.88,0.53,3,188,3,0,0,0
47,47000,0.66,0.87,4,139,3,0,0,0
48,167000,0.84,0.87,4,246,6,0,0,1
49,55000,0.76,0.69,4,253,3,0,0,0
50,73000,0.1,0.79,6,271,4,0,0,1
51,78000,0.67,0.72,4,192,3,1,0,0
52,33000,0.15,0.42,4,238,3,0,0,0
53,80000,0.75,0.53,3,222,2,0,0,0
54,58000,0.77,0.66,6,181,4,0,0,0
55,55000,0.59,0.87,4,183,2,0,0,0
56,74000,0.64,0.5,3,261,2,0,0,0
57,46000,0.2,0.69,6,236,4,0,0,0
58,90000,0.89,0.84,5,168,2,0,0,0
59,87000,0.33,0.95,4,280,3,0,0,0
60,110000,0.18,0.51,6,227,2,0,0,0
61,63000,0.57,0.39,3,193,6,0,0,0
62,44000,0.6,0.98,5,213,3,0,0,0
63,56000,0.47,0.5,4,254,4,0,0,1
64,82000,0.9,0.91,5,176,3,0,0,0
65,62000,0.6,0.62,3,238,4,0,1,0
66,32000,0.81,0.95,5,238,6,0,0,1
67,70000,0.95,0.49,3,188,3,0,0,0
68,86000,0.95,0.48,5,214,6,1,1,0
69,89000,0.42,0.47,2,135,3,0,0,1
70,61000,0.46,0.54,2,138,3,0,0,1
71,74000,0.99,0.7,5,195,3,0,0,0
72,85000,0.81,0.72,3,232,3,1,0,0
73,81000,0.96,1.0,4,167,2,1,0,0
74,60000,0.96,0.84,3,264,3,0,0,0
75,58000,0.88,0.57,4,261,4,0,0,0
76,86000,0.5,0.59,4,192,2,0,0,0
77,38000,0.57,0.62,5,141,3,0,0,0
78,64000,0.41,0.48,2,130,3,0,0,1
79,63000,0.48,0.53,4,271,3,0,0,0
80,74000,0.88,0.65,3,268,2,0,0,0
81,31000,0.92,0.64,4,217,4,0,0,0
82,74000,0.76,0.98,5,217,6,0,0,1
83,69000,0.89,0.87,5,255,5,0,0,1
84,35000,0.44,0.49,2,127,3,1,0,1
85,77000,0.1,0.96,6,310,5,0,0,1
86,46000,0.91,1.0,4,125,4,0,0,0
87,56000,0.97,0.64,3,237,3,0,0,0
88,82000,0.6,0.8,4,222,2,0,0,0
89,87000,0.89,0.66,4,176,3,0,0,0
90,79000,0.63,0.86,3,245,2,0,0,0
91,30000,0.64,0.99,3,214,2,0,0,0
92,81000,0.63,0.54,4,147,4,0,0,0
93,87000,0.97,0.79,5,259,3,0,1,0
94,35000,0.45,0.5,2,126,3,0,0,1
95,41000,0.7,0.63,3,157,2,0,0,0
96,37000,0.91,0.89,2,219,4,0,0,0
97,88000,0.48,0.57,4,270,4,0,0,1
98,35000,0.55,0.74,3,211,3,1,0,0
99,46000,0.1,0.77,7,250,5,0,0,1
100,77000,0.37,0.51,2,155,3,0,0,1
101,51000,0.1,0.92,7,273,4,0,0,1
102,80000,0.95,0.86,2,263,4,0,0,0
103,61000,0.96,0.99,4,233,3,0,0,0
104,58000,0.63,0.49,4,151,3,0,0,0
105,54000,0.84,0.88,3,194,3,0,0,0
106,87000,0.36,0.4,4,114,4,1,0,0
107,115000,0.2,0.99,5,151,3,1,0,0
108,65000,0.86,0.66,4,191,2,0,0,0
109,87000,0.84,0.56,3,266,3,0,0,0
110,59000,0.78,0.66,3,164,3,0,0,1
111,39000,0.43,0.52,2,147,3,0,0,1
112,70000,0.49,0.71,3,255,2,1,0,0
113,71000,0.57,0.67,3,207,2,0,0,0
114,64000,0.85,0.79,3,243,2,0,1,0
115,46000,0.36,0.56,2,132,3,0,0,1
116,50000,0.96,0.6,3,160,10,0,0,0
117,77000,0.72,0.72,4,175,4,0,0,0
118,76000,0.36,0.47,2,136,3,0,0,1
119,59000,0.39,0.5,2,142,3,0,0,1
120,86000,0.65,0.63,4,143,8,0,0,0
121,34000,0.84,0.84,6,261,5,0,0,0
122,60000,0.68,0.54,3,270,4,1,0,0
123,45000,0.76,0.56,3,154,2,0,0,0
124,50000,0.65,0.92,4,242,2,0,0,0
125,86000,0.42,0.57,2,159,3,0,0,1
126,35000,0.53,0.37,3,180,3,0,0,0
127,80000,0.91,0.49,6,272,6,0,0,0
128,38000,0.1,0.94,7,281,4,0,0,1
129,34000,0.86,0.71,5,273,3,0,0,0
130,89000,0.92,0.65,4,135,3,0,0,0
131,60000,0.96,0.94,3,182,3,0,0,0
132,48000,0.57,0.66,4,158,2,0,0,0
133,68000,0.61,0.84,5,104,4,0,0,0
134,77000,0.52,0.38,2,103,3,0,0,0
135,52000,0.91,0.81,4,139,2,0,0,0
136,62000,0.45,0.66,3,111,4,0,0,0
137,64000,0.44,0.45,2,132,3,0,0,1
138,42000,0.67,0.64,3,198,2,1,0,0
139,52000,0.62,0.94,4,252,4,0,0,0
140,33000,1.0,0.99,4,184,4,0,0,0
141,50000,0.37,0.52,2,143,3,0,0,1
142,79000,0.86,0.91,4,234,3,1,0,0
143,85000,0.38,0.52,2,171,3,0,0,0
144,52000,0.73,0.95,3,156,2,0,0,0
145,44000,0.86,0.62,4,186,3,0,0,0
146,39000,0.61,0.5,4,217,4,1,0,0
147,51000,0.78,0.89,5,274,6,0,0,1
148,84000,0.1,0.79,6,291,4,0,0,1
149,56000,0.41,0.48,2,139,3,0,0,1
150,80000,0.77,0.85,5,276,5,0,0,1
151,58000,0.8,0.8,3,271,4,0,0,0
152,37000,0.39,0.53,2,131,3,0,0,1
153,76000,0.92,0.51,4,167,3,1,0,0
154,51000,0.6,0.52,5,140,3,0,0,0
155,56000,0.09,0.8,6,301,5,0,0,1
156,61000,0.8,0.58,4,189,2,0,0,0
157,74000,0.47,0.6,4,263,5,0,0,0
158,64000,0.22,0.84,3,131,5,1,0,0
159,88000,0.44,0.48,2,158,3,0,0,1
160,58000,0.9,0.98,2,243,3,0,0,0
161,89000,0.6,0.95,5,205,3,0,0,0
162,139000,0.11,0.9,6,264,4,0,0,1
163,81000,0.44,0.51,2,140,3,0,0,1
164,64000,0.69,0.89,4,174,2,0,0,0
165,33000,0.54,0.51,4,137,4,0,1,0
166,67000,0.96,0.63,4,142,4,0,0,0
167,67000,0.64,0.5,3,146,3,0,0,0
168,85000,0.82,0.84,3,139,2,1,0,0
169,66000,0.43,0.51,2,136,3,0,0,1
170,46000,0.62,0.7,4,141,4,0,0,0
171,52000,0.39,0.55,2,159,3,0,0,1
172,63000,0.92,0.97,4,199,3,0,0,0
173,80000,0.77,0.9,4,237,5,0,0,1
174,84000,0.52,0.53,2,163,2,0,0,0
175,60000,0.63,0.86,4,169,2,0,0,0
176,63000,0.47,0.55,4,122,5,1,0,0
177,35000,0.89,0.66,4,252,3,0,0,0
178,54000,0.97,0.68,3,185,2,0,0,0
179,51000,0.49,0.67,2,190,8,0,0,0
180,44000,0.93,0.48,3,147,3,0,0,0
181,206000,0.54,0.64,3,190,7,0,0,0
182,57000,0.63,0.64,3,180,3,0,0,0
183,33000,0.89,0.77,3,144,3,0,0,0
184,150000,0.66,0.96,3,175,2,0,0,0
185,55000,0.62,0.49,4,174,3,0,0,0
186,80000,0.67,0.57,4,165,3,0,0,0
187,61000,0.75,0.82,3,227,2,0,0,0
188,86000,0.55,0.63,4,218,2,0,0,0
189,40000,0.24,0.58,5,279,4,0,0,0
190,61000,0.73,0.59,3,219,2,0,0,0
191,60000,0.5,0.59,3,260,3,0,0,0
192,31000,0.91,0.97,4,183,3,0,0,0
193,47000,0.98,0.89,4,218,2,0,0,0
194,88000,0.36,0.46,2,157,3,0,0,1
195,82000,0.93,0.65,5,201,3,0,0,0
196,87000,0.71,0.89,3,222,3,0,0,0
197,66000,0.9,0.59,6,269,4,1,0,0
198,90000,0.56,0.54,4,191,2,1,1,0
199,51000,0.63,0.67,5,169,2,0,0,0
200,57000,0.11,0.92,7,307,4,0,0,1
201,70000,0.74,0.93,5,140,3,0,0,0
202,35000,0.71,0.84,3,139,2,0,0,0
203,53000,0.53,0.71,4,227,3,0,0,0
204,57000,0.54,0.37,2,176,2,0,0,0
205,35000,0.43,0.53,2,146,3,0,0,1
206,81000,0.42,0.53,2,131,3,0,0,1
207,74000,0.45,0.57,2,148,3,0,0,1
208,53000,0.49,0.54,4,247,3,1,0,0
209,76000,0.44,0.68,2,120,2,0,0,0
210,122000,0.48,0.39,4,272,3,0,0,0
211,78000,0.42,0.53,3,181,5,0,0,0
212,98000,0.62,0.81,3,245,2,1,0,0
213,39000,0.37,0.63,4,167,3,0,0,0
214,65000,0.99,0.67,5,153,2,0,0,0
215,47000,0.61,0.7,4,161,3,1,0,0
216,50000,0.95,0.88,3,199,3,0,0,0
217,45000,0.57,0.91,4,224,10,0,0,0
218,43000,0.1,0.77,5,276,4,0,0,1
219,90000,0.98,0.42,5,226,3,0,0,0
220,126000,0.15,0.53,4,205,5,1,0,0
221,65000,0.9,0.49,3,259,6,0,0,0
222,77000,0.48,0.53,3,211,4,0,0,0
223,74000,0.73,0.59,6,121,5,0,0,0
224,58000,0.11,0.91,7,287,4,0,0,1
225,51000,0.13,0.53,6,173,4,0,0,0
226,56000,0.8,0.87,4,220,2,0,0,0
227,52000,0.45,0.54,2,140,3,0,0,1
228,52000,0.98,0.91,4,240,3,0,0,0
229,42000,0.93,0.55,3,134,3,1,0,0
230,62000,0.52,0.53,5,182,2,0,0,0
231,59000,0.76,0.84,4,236,4,0,0,0
232,72000,0.91,0.72,3,213,3,0,0,0
233,40000,0.71,0.81,3,141,3,0,0,0
234,83000,0.36,0.45,2,127,3,0,0,1
235,33000,0.66,0.65,3,234,2,0,0,0
236,181000,0.93,0.59,3,233,3,0,0,0
237,35000,0.44,0.42,2,199,2,0,0,0
238,34000,0.37,0.54,2,145,3,0,0,1
239,77000,0.59,0.69,3,146,3,0,0,0
240,87000,0.41,0.54,2,153,3,1,0,1
241,30000,0.78,0.66,3,164,3,0,0,1
242,133000,0.88,0.91,4,233,4,0,0,0
243,63000,0.2,0.52,5,218,5,0,0,0
244,78000,0.58,0.99,3,207,10,0,0,0
245,85000,0.96,0.92,3,196,4,0,0,0
246,56000,0.88,0.8,3,133,3,0,0,0
247,66000,0.61,0.51,3,156,3,1,0,0
248,155000,0.93,0.86,4,192,4,0,0,0
249,67000,0.61,0.68,5,225,4,0,0,0
250,58000,0.68,0.61,6,236,3,0,0,0
251,168000,0.74,0.97,2,135,4,0,0,0
252,33000,0.66,0.93,4,248,3,0,0,0
253,86000,0.73,0.57,3,146,2,0,0,0
254,30000,0.74,0.59,4,155,3,0,0,0
255,80000,0.48,0.78,2,198,2,0,0,1
256,68000,0.65,0.48,3,131,3,1,0,0
257,86000,0.33,0.88,6,219,5,0,0,1
258,58000,0.55,0.84,4,200,4,0,0,0
259,47000,0.37,0.57,2,133,3,0,0,1
260,72000,0.36,0.55,6,226,6,0,0,0
261,114000,0.88,0.84,4,170,2,0,0,0
262,30000,0.79,0.54,6,190,4,0,0,0
263,85000,0.36,0.55,3,191,3,0,0,0
264,100000,0.38,0.51,2,120,3,0,0,0
265,52000,0.92,0.44,3,260,8,0,0,0
266,61000,0.73,0.49,4,243,2,0,0,0
267,40000,0.7,0.58,4,207,2,1,0,0
268,53000,0.51,0.91,4,269,5,0,1,0
269,55000,0.45,0.62,6,129,5,0,0,0
270,49000,0.62,0.92,3,228,2,0,0,0
271,59000,0.54,0.76,3,183,3,0,0,0
272,65000,0.88,0.68,5,157,4,1,0,0
273,46000,0.57,0.5,5,149,5,1,0,0
274,90000,0.65,0.55,5,215,2,0,0,0
275,46000,0.39,0.56,2,142,3,0,0,1
276,86000,0.44,0.55,2,141,3,0,0,1
277,50000,0.62,0.77,5,227,4,0,0,1
278,72000,0.36,0.52,2,146,3,0,0,1
279,44000,0.56,0.83,5,157,3,0,0,0
280,64000,0.92,0.64,4,190,10,1,0,0
281,42000,0.83,0.73,4,262,2,0,0,0
282,176000,0.79,0.91,3,226,2,0,0,0
283,148000,0.62,0.55,3,108,2,1,0,0
284,52000,0.97,0.95,3,257,2,0,0,0
285,60000,0.64,0.56,3,239,3,0,0,0
286,40000,0.98,0.99,3,235,3,0,0,0
287,76000,0.72,0.93,4,174,2,0,0,0
288,45000,0.09,0.77,6,290,4,0,0,1
289,63000,0.74,0.61,3,231,2,0,0,0
290,48000,0.89,0.95,4,275,5,0,0,1
291,48000,0.49,0.77,4,218,2,0,0,0
292,76000,0.54,0.91,3,249,3,0,0,0
293,87000,0.11,0.85,6,305,4,0,0,1
294,80000,0.71,1.0,4,300,5,0,0,1
295,159000,0.44,0.56,2,133,3,0,0,1
296,50000,0.87,0.91,3,229,3,1,0,0
297,36000,0.44,0.45,2,132,3,0,0,1
298,50000,0.42,0.55,2,148,3,0,0,1
299,76000,0.56,0.59,5,209,2,1,0,0
300,158000,0.95,0.56,5,194,2,0,0,0
301,37000,0.42,0.57,2,154,3,1,0,1
302,63000,0.68,0.73,3,257,3,0,0,0
303,79000,0.38,0.56,2,161,3,0,0,1
304,48000,0.55,0.91,3,243,4,0,0,0
305,90000,0.91,0.56,4,158,3,0,0,0
306,40000,0.11,0.94,6,276,4,0,0,1
307,75000,0.84,0.89,3,234,2,0,0,0
308,60000,0.94,0.88,5,150,4,0,0,0
309,90000,0.74,0.66,3,177,2,0,0,0
310,64000,0.51,0.72,3,148,2,0,0,0
311,67000,0.22,0.96,3,213,3,0,0,0
312,37000,0.6,0.52,3,183,2,0,0,0
313,78000,0.81,0.86,5,159,2,0,0,0
314,42000,0.89,1.0,5,246,5,0,0,1
315,77000,0.58,0.69,3,252,3,0,0,0
316,30000,0.98,0.6,4,160,3,0,0,0
317,51000,0.23,0.94,5,242,4,0,0,0
318,152000,0.66,0.8,4,183,2,1,0,0
319,66000,0.66,0.59,4,179,3,0,0,0
320,61000,0.69,0.98,3,168,2,0,0,0
321,42000,0.86,0.72,3,217,3,0,0,0
322,51000,0.89,0.87,5,225,5,0,0,1
323,68000,0.45,0.63,5,111,5,0,0,0
324,168000,0.5,0.74,3,220,3,0,0,0
325,76000,0.61,0.42,3,145,4,0,1,0
326,244000,0.47,0.51,6,190,5,0,1,0
327,200000,0.6,0.95,4,164,4,0,0,0
328,69000,0.73,0.92,3,199,3,1,0,0
329,69000,0.45,0.41,3,193,2,1,0,0
330,47000,0.68,0.81,5,266,2,0,0,0
331,89000,0.99,0.99,3,158,2,0,0,0
332,83000,0.44,0.56,2,145,3,0,0,1
333,67000,0.49,0.37,5,246,3,0,0,0
334,82000,0.43,0.48,2,149,3,0,0,1
335,68000,0.09,0.8,6,301,5,0,0,1
336,51000,0.52,0.97,4,170,3,0,0,0
337,68000,0.68,0.85,3,250,3,0,0,0
338,70000,0.52,0.92,3,150,2,1,0,0
339,66000,0.8,0.72,3,271,2,0,0,0
340,33000,0.7,0.89,3,183,5,0,0,1
341,46000,0.9,0.74,5,249,3,0,0,0
342,69000,0.56,0.86,4,181,3,0,0,0
343,61000,0.15,0.98,2,96,2,0,0,0
344,47000,0.42,0.47,2,130,3,0,0,1
345,66000,0.89,0.62,5,196,3,0,0,0
346,43000,0.93,0.67,5,237,4,0,0,0
347,49000,0.59,0.59,4,270,2,0,0,0
348,75000,0.39,0.58,3,152,3,1,0,0
349,71000,0.92,0.85,3,207,2,0,0,0
350,83000,0.23,0.37,3,247,4,0,0,0
351,90000,0.57,0.67,3,138,6,1,0,0
352,48000,0.6,0.57,3,203,2,0,0,0
353,70000,0.11,0.9,6,253,4,0,0,1
354,69000,0.16,0.74,5,205,4,1,0,0
355,58000,0.44,0.56,2,156,3,0,0,1
356,70000,0.14,0.62,4,158,4,1,0,1
357,63000,0.85,0.51,3,261,4,0,1,0
358,47000,0.64,0.48,3,147,7,0,0,0
359,34000,0.35,0.78,5,275,4,0,0,0
360,70000,0.79,0.96,4,234,5,0,0,1
361,34000,0.84,0.5,4,178,2,0,0,0
362,65000,0.25,0.62,6,271,5,0,0,0
363,33000,0.1,0.78,5,285,4,1,0,1
364,48000,0.24,0.42,5,210,5,0,0,0
365,82000,0.76,0.8,2,219,4,1,0,0
366,37000,0.49,0.87,3,212,2,0,0,0
367,80000,0.78,0.43,4,275,3,0,0,0
368,44000,0.53,0.73,4,227,3,0,0,0
369,44000,0.93,0.98,4,160,3,0,0,0
370,76000,0.99,0.89,3,273,2,0,0,0
371,42000,0.79,0.87,5,261,5,0,0,1
372,59000,0.51,0.76,2,239,3,0,0,0
373,37000,1.0,0.86,4,245,4,0,0,0
374,49000,0.37,0.56,2,156,3,0,0,1
375,51000,0.44,0.52,2,141,3,0,0,1
376,80000,0.79,0.53,2,217,2,0,0,0
377,63000,0.58,0.84,4,206,7,0,1,0
378,30000,0.63,0.88,3,177,3,0,0,0
379,81000,0.37,0.49,2,153,3,0,0,1
380,59000,0.73,0.54,3,283,6,0,0,0
381,76000,0.88,0.58,3,145,8,0,0,0
382,42000,0.99,0.84,4,142,10,0,0,0
383,31000,0.88,0.5,3,206,2,0,0,0
384,51000,0.82,0.54,4,191,3,0,0,0
385,43000,0.1,0.95,6,244,5,0,0,1
386,84000,0.99,0.56,3,193,3,1,0,0
387,164000,0.72,0.63,3,223,2,1,0,0
388,63000,0.9,0.95,3,133,4,0,0,0
389,37000,0.78,0.95,3,249,4,0,0,0
390,49000,0.66,0.68,4,269,3,1,0,0
391,40000,0.87,0.58,4,212,3,0,0,0
392,31000,0.37,0.55,2,152,3,0,0,1
393,80000,0.15,0.8,5,121,5,0,0,0
394,86000,0.73,0.86,4,245,6,0,0,1
395,47000,0.76,0.67,5,243,3,0,0,0
396,47000,0.83,0.51,5,143,4,0,0,0
397,81000,0.5,0.81,3,170,2,0,0,0
398,44000,0.5,0.85,4,272,2,0,0,0
399,89000,0.62,0.87,4,221,3,1,0,0
400,42000,0.5,0.65,5,242,3,0,0,0
401,60000,0.98,0.96,5,183,3,1,0,0
402,88000,0.39,0.54,2,158,3,0,0,1
403,60000,0.77,0.92,5,235,5,0,0,1
404,76000,0.68,0.51,2,196,3,0,0,0
405,68000,0.78,0.8,3,135,7,0,0,0
406,54000,0.85,0.82,4,270,5,0,0,1
407,34000,0.84,0.98,4,134,5,1,0,0
408,80000,0.51,0.95,4,201,3,0,0,0
409,68000,0.12,0.59,3,229,6,0,0,0
410,84000,0.97,0.91,3,246,2,0,0,0
411,46000,0.54,0.53,4,158,2,0,0,0
412,39000,0.57,0.7,4,237,6,0,0,0
413,87000,0.5,0.88,4,172,4,0,0,0
414,71000,0.34,0.42,6,287,5,1,0,0
415,40000,0.21,0.85,6,235,6,0,0,0
416,60000,0.75,0.84,4,195,3,0,0,0
417,71000,0.4,0.85,4,198,2,0,0,0
418,43000,0.86,0.56,5,141,2,0,0,0
419,38000,0.89,0.54,3,214,2,0,0,0
420,81000,0.54,0.71,5,173,2,0,0,0
421,106000,0.18,0.73,6,231,4,0,0,0
422,36000,0.9,0.79,3,222,6,1,0,0
423,90000,0.93,0.73,3,252,4,0,0,0
424,86000,0.4,0.46,2,130,3,0,0,1
425,52000,0.75,0.75,4,266,3,0,0,0
426,58000,0.38,1.0,5,137,4,0,0,1
427,46000,0.68,0.83,5,267,3,0,0,0
428,52000,0.43,0.51,2,128,3,0,0,1
429,61000,0.91,0.91,4,262,6,0,0,1
430,36000,0.41,0.55,2,154,3,0,0,1
431,30000,0.73,0.62,3,218,3,0,0,0
432,39000,0.6,0.85,3,242,2,0,0,0
433,54000,0.62,0.68,5,265,3,0,0,0
434,75000,0.71,0.68,3,231,2,1,0,0
435,74000,0.19,0.63,5,206,6,0,0,0
436,73000,0.89,0.95,4,141,3,0,0,0
437,80000,0.1,0.87,7,289,4,0,0,1
438,90000,0.52,0.68,3,162,4,1,0,0
439,51000,0.56,0.73,4,134,3,0,0,0
440,84000,0.09,0.88,6,269,4,0,0,1
441,39000,0.41,0.57,2,136,3,0,0,1
442,47000,0.66,0.96,4,103,2,0,0,0
443,38000,0.96,0.89,3,163,2,0,0,0
444,100000,0.91,0.77,3,195,7,0,0,0
445,116000,0.73,0.67,4,205,3,0,0,0
446,83000,0.4,0.54,2,137,3,0,0,1
447,55000,0.59,0.74,5,165,2,0,0,0
448,63000,0.83,0.83,3,186,3,1,1,0
449,35000,0.72,0.99,4,239,3,0,0,0
450,31000,0.57,0.61,3,112,5,0,0,0
451,90000,0.84,1.0,5,250,5,0,0,1
452,63000,0.89,0.58,3,167,3,0,0,0
453,31000,0.11,0.97,6,310,4,0,0,1
454,89000,0.21,0.63,5,226,3,0,0,0
455,44000,0.53,0.56,5,188,3,0,0,0
456,78000,0.85,0.63,3,167,3,0,0,0
457,66000,0.55,0.98,2,144,2,0,0,0
458,37000,0.4,0.48,2,137,3,0,0,1
459,72000,0.74,0.62,3,216,3,1,0,0
460,77000,0.09,0.82,6,257,4,0,0,1
461,90000,0.38,0.57,2,146,3,0,0,1
462,85000,0.62,0.86,4,135,3,0,0,0
463,51000,0.55,0.63,5,184,4,0,0,0
464,50000,0.99,0.64,4,135,2,1,0,0
465,77000,0.46,0.47,6,101,5,0,0,0
466,178000,0.19,0.64,5,181,4,1,0,0
467,155000,0.72,0.68,4,238,3,0,0,0
468,61000,0.51,0.86,4,223,3,1,0,0
469,43000,0.94,0.88,4,262,2,0,0,0
470,53000,0.96,0.97,4,260,3,0,0,0
471,85000,0.68,0.59,3,141,3,0,0,0
472,83000,0.12,0.61,6,257,3,0,0,0
473,61000,0.46,0.48,2,129,3,0,0,1
474,37000,0.39,0.5,2,135,3,0,0,1
475,40000,0.09,0.92,7,301,4,0,0,1
476,49000,0.1,0.94,6,285,4,0,0,1
477,61000,0.67,0.57,5,215,4,0,0,0
478,37000,0.81,0.78,3,165,3,0,0,0
479,31000,0.53,0.49,4,192,2,0,0,0
480,75000,0.6,0.91,3,157,4,0,0,0
481,65000,0.4,0.72,3,139,2,0,0,0
482,140000,0.92,0.66,4,113,3,0,0,0
483,42000,0.37,0.48,2,129,3,0,0,1
484,41000,0.2,0.98,3,180,6,0,0,0
485,68000,0.49,0.63,6,265,3,0,0,1
486,31000,0.82,0.49,5,210,3,0,0,0
487,36000,0.31,0.75,4,220,3,0,0,0
488,61000,0.4,0.65,6,172,2,1,0,0
489,43000,0.72,0.8,3,158,3,0,0,0
490,171000,0.62,0.77,4,256,3,0,0,0
491,42000,0.52,0.84,4,212,3,0,0,0
492,31000,0.55,0.81,4,267,5,0,0,0
493,51000,0.6,0.72,3,181,2,0,0,0
494,52000,0.91,0.5,3,276,4,0,0,0
495,64000,0.81,0.81,4,177,3,0,0,0
496,62000,0.42,0.53,2,131,3,0,0,1
497,56000,0.99,0.52,4,205,2,0,0,0
498,80000,0.7,0.51,3,256,3,0,0,0
499,88000,0.74,0.98,5,200,3,0,0,0
500,54000,0.56,0.66,3,232,2,0,0,0
501,76000,0.85,0.57,4,150,3,0,1,0
502,57000,0.24,0.55,5,208,5,0,0,0
503,87000,0.94,0.69,3,248,3,0,0,0
504,46000,0.59,0.57,4,261,2,0,0,0
505,39000,0.51,0.93,5,232,3,0,0,0
506,83000,0.77,0.8,3,207,3,0,0,0
507,52000,0.92,0.64,4,259,2,0,0,0
508,85000,0.42,0.8,4,259,7,1,0,0
509,42000,0.74,0.79,5,237,4,0,0,0
510,110000,0.91,0.71,2,159,3,1,0,0
511,37000,0.93,0.73,4,283,7,0,0,0
512,31000,0.89,0.84,6,196,4,0,0,0
513,33000,0.76,0.63,3,198,3,0,0,0
514,40000,0.71,0.62,3,258,2,0,0,0
515,32000,0.63,0.85,3,151,4,1,0,0
516,86000,0.88,0.96,5,182,4,1,0,0
517,51000,0.51,0.56,4,198,2,1,0,0
518,32000,0.64,0.67,5,198,2,1,0,0
519,54000,0.59,1.0,4,275,3,0,0,0
520,107000,0.19,0.76,2,158,3,0,0,0
521,89000,0.98,0.71,5,217,3,0,0,0
522,63000,0.68,0.58,3,217,2,0,0,0
523,41000,0.52,0.96,4,171,2,0,0,0
524,39000,0.74,0.51,4,185,2,1,0,0
525,67000,0.12,0.95,3,236,3,0,0,0
526,85000,0.63,0.66,4,237,2,1,0,0
527,57000,0.87,0.49,4,149,2,0,0,0
528,64000,0.97,0.58,4,159,3,0,0,0
529,78000,0.63,0.78,4,160,2,0,0,0
530,70000,0.61,0.5,4,216,2,0,0,0
531,61000,0.83,0.94,5,273,5,0,0,1
532,86000,0.14,0.58,4,275,10,0,0,0
533,82000,0.85,0.95,4,171,3,0,0,0
534,60000,0.11,0.8,6,282,4,0,0,1
535,89000,0.83,0.92,5,267,6,0,0,1
536,30000,0.51,0.83,5,249,4,0,0,1
537,55000,0.43,0.53,2,160,3,0,0,1
538,31000,0.66,0.49,4,157,3,0,0,0
539,72000,0.71,0.68,5,226,3,0,0,0
540,81000,0.53,0.86,3,150,3,0,0,0
541,31000,0.99,0.8,3,209,2,0,0,0
542,50000,0.84,0.68,3,231,3,0,0,0
543,78000,0.65,0.77,5,241,2,0,0,0
544,87000,0.11,0.81,5,287,4,0,0,1
545,87000,0.75,0.93,4,195,3,0,0,0
546,64000,0.69,0.75,3,179,2,1,0,0
547,66000,0.48,0.93,3,150,10,0,0,0
548,33000,0.56,0.57,2,112,4,0,0,0
549,67000,0.41,0.77,4,231,6,0,0,0
550,55000,0.38,0.47,2,144,3,0,0,1
551,62000,0.16,0.94,4,261,6,0,0,0
552,82000,0.94,0.83,2,185,3,1,0,0
553,89000,0.61,0.95,5,233,3,0,0,0
554,60000,0.73,0.91,3,135,2,0,0,0
