department,region,termination_date,bracket_salary,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,resigned
accounting,Europe,09/01/2018,"low, 33000",0.15,0.42,4,238,3,0,0,0
technical,Europe,17/03/2017,"medium, 80000",0.75,0.53,3,222,2,0,0,0
sales,US,06/18/2016,"low, 58000",0.77,0.66,6,181,4,0,0,0
product_mng,US,03/22/2016,"low, 55000",0.59,0.87,4,183,2,0,0,0
marketing,Europe,25/09/2002,"low, 43000",0.52,0.88,3,179,2,1,0,0
support,Canada,19/09/2004,"medium, 86000",0.89,0.49,5,165,6,0,0,0
technical,Canada,12/07/2017,"medium, 74000",0.64,0.5,3,261,2,0,0,0
support,Europe,17/10/2016,"low, 46000",0.2,0.69,6,236,4,0,0,0
sales,US,02/10/1997,"low, 51000",0.82,0.89,4,196,3,0,1,0
RandD,Canada,23/11/2015,"medium, 90000",0.89,0.84,5,168,2,0,0,0
support,US,07/28/2008,"medium, 87000",0.33,0.95,4,280,3,0,0,0
sales,US,05/18/2016,"low, 110000",0.18,0.51,6,227,2,0,0,0
support,Canada,22/04/2009,"medium, 63000",0.57,0.39,3,193,6,0,0,0
sales,Canada,22/01/2006,"high, 200000",0.59,0.65,5,161,2,0,0,0
support,Canada,19/05/2015,"low, 44000",0.6,0.98,5,213,3,0,0,0
IT,US,05/23/2008,"low, 56000",0.47,0.5,4,254,4,0,0,1
hr,US,05/21/2016,"medium, 82000",0.9,0.91,5,176,3,0,0,0
sales,US,01/22/2006,"high, 152000",0.5,0.83,5,258,2,0,0,0
sales,US,08/11/2011,"medium, 62000",0.6,0.62,3,238,4,0,1,0
technical,Europe,02/12/2015,"low, 32000",0.81,0.95,5,238,6,0,0,1
technical,Canada,20/06/2016,"medium, 70000",0.95,0.49,3,188,3,0,0,0
technical,US,10/30/2015,"medium, 86000",0.95,0.48,5,214,6,1,1,0
support,US,06/18/2008,"medium, 89000",0.42,0.47,2,135,3,0,0,1
RandD,US,01/24/2017,"medium, 61000",0.46,0.54,2,138,3,0,0,1
RandD,US,09/08/2002,"low, 43000",0.95,0.74,3,139,2,0,0,0
support,US,04/04/2009,"medium, 74000",0.99,0.7,5,195,3,0,0,0
marketing,US,02/06/2017,"medium, 85000",0.81,0.72,3,232,3,1,0,0
technical,Europe,23/03/2017,"medium, 81000",0.96,1,4,167,2,1,0,0
product_mng,US,11/29/2017,"low, 60000",0.96,0.84,3,264,3,0,0,0
technical,Europe,13/12/2015,"low, 58000",0.88,0.57,4,261,4,0,0,0
sales,Europe,05/05/2017,"medium, 86000",0.5,0.59,4,192,2,0,0,0
sales,US,02/14/1985,"medium, 88000",0.54,0.58,3,169,2,1,0,0
technical,US,05/22/2017,"low, 38000",0.57,0.62,5,141,3,0,0,0
IT,Canada,10/06/2016,"medium, 64000",0.41,0.48,2,130,3,0,0,1
support,US,01/15/2010,"medium, 63000",0.48,0.53,4,271,3,0,0,0
sales,US,01/07/2018,"medium, 74000",0.88,0.65,3,268,2,0,0,0
support,US,02/16/2015,"low, 31000",0.92,0.64,4,217,4,0,0,0
technical,US,09/06/2016,"medium, 74000",0.76,0.98,5,217,6,0,0,1
product_mng,US,06/24/1990,"low, 41000",0.34,0.72,3,118,4,0,0,0
IT,US,03/25/2009,"medium, 69000",0.89,0.87,5,255,5,0,0,1
sales,US,02/14/2016,"low, 35000",0.44,0.49,2,127,3,1,0,1
technical,Europe,24/12/2015,"medium, 77000",0.1,0.96,6,310,5,0,0,1
support,Canada,25/10/2016,"low, 46000",0.91,1,4,125,4,0,0,0
sales,US,06/11/2002,"medium, 70000",0.65,0.91,4,243,5,1,0,0
technical,US,01/05/2003,"high, 180000",0.84,0.81,4,152,2,1,0,0
marketing,Canada,09/08/2012,"low, 56000",0.97,0.64,3,237,3,0,0,0
marketing,Canada,13/08/2003,"low, 60000",0.87,0.84,4,237,3,1,0,0
support,Europe,21/02/2016,"medium, 82000",0.6,0.8,4,222,2,0,0,0
technical,US,02/15/2014,"medium, 87000",0.89,0.66,4,176,3,0,0,0
technical,Europe,10/01/2006,"medium, 61000",0.5,0.51,5,134,3,0,0,0
sales,US,09/07/2016,"medium, 79000",0.63,0.86,3,245,2,0,0,0
RandD,US,12/12/2008,"low, 30000",0.64,0.99,3,214,2,0,0,0
sales,US,01/01/2010,"medium, 81000",0.63,0.54,4,147,4,0,0,0
technical,US,03/18/2012,"medium, 87000",0.97,0.79,5,259,3,0,1,0
IT,US,02/08/2015,"low, 35000",0.45,0.5,2,126,3,0,0,1
sales,US,01/27/2009,"low, 41000",0.7,0.63,3,157,2,0,0,0
technical,US,12/19/2008,"low, 37000",0.91,0.89,2,219,4,0,0,0
sales,US,08/25/2010,"medium, 88000",0.48,0.57,4,270,4,0,0,1
RandD,US,10/09/2017,"low, 35000",0.55,0.74,3,211,3,1,0,0
sales,APAC,04/03/2017,"low, 46000",0.1,0.77,7,250,5,0,0,1
accounting,Canada,30/07/2005,"medium, 70000",0.85,0.87,6,232,5,0,0,0
support,US,02/26/1995,"low, 60000",0.46,0.53,2,161,3,0,0,1
RandD,Europe,01/10/2015,"medium, 77000",0.37,0.51,2,155,3,0,0,1
technical,US,01/19/2017,"low, 51000",0.1,0.92,7,273,4,0,0,1
sales,US,12/08/2010,"medium, 80000",0.95,0.86,2,263,4,0,0,0
IT,US,12/07/2005,"low, 41000",0.69,0.63,5,140,4,0,1,0
sales,US,01/10/2009,"medium, 61000",0.96,0.99,4,233,3,0,0,0
sales,US,03/06/2003,"medium, 85000",0.39,0.57,2,157,3,0,0,1
sales,US,04/20/2009,"low, 58000",0.63,0.49,4,151,3,0,0,0
IT,US,01/09/2016,"low, 54000",0.84,0.88,3,194,3,0,0,0
technical,US,03/17/2007,"medium, 90000",0.37,0.54,2,145,3,0,0,1
sales,Europe,29/12/2010,"medium, 87000",0.36,0.4,4,114,4,1,0,0
support,US,07/10/2017,"high, 115000",0.2,0.99,5,151,3,1,0,0
sales,US,10/06/2005,"low, 37000",0.7,0.79,6,257,4,0,0,0
RandD,US,11/18/2017,"medium, 65000",0.86,0.66,4,191,2,0,0,0
sales,Europe,06/12/2016,"medium, 87000",0.84,0.56,3,266,3,0,0,0
support,US,02/11/2007,"medium, 89000",0.82,0.91,5,271,2,0,1,0
IT,US,05/26/2008,"low, 59000",0.78,0.66,3,164,3,0,0,1
sales,US,07/17/2003,"low, 30000",0.4,0.5,2,130,3,0,0,1
RandD,US,09/28/2009,"low, 39000",0.43,0.52,2,147,3,0,0,1
product_mng,US,01/08/2007,"medium, 86000",0.1,0.78,7,286,4,0,0,1
sales,US,01/03/2016,"medium, 70000",0.49,0.71,3,255,2,1,0,0
technical,Europe,13/01/2018,"medium, 71000",0.57,0.67,3,207,2,0,0,0
marketing,US,02/01/2006,"medium, 82000",0.95,0.87,4,135,3,0,0,0
hr,Canada,11/01/2008,"medium, 64000",0.85,0.79,3,243,2,0,1,0
support,US,07/26/2008,"low, 46000",0.36,0.56,2,132,3,0,0,1
sales,US,10/24/2007,"medium, 80000",0.46,0.54,2,144,3,0,0,1
sales,US,11/13/2002,"low, 37000",0.91,0.61,3,255,3,0,0,0
IT,US,02/04/2017,"low, 50000",0.96,0.6,3,160,10,0,0,0
technical,US,04/18/2016,"medium, 77000",0.72,0.72,4,175,4,0,0,0
IT,US,06/03/2017,"medium, 76000",0.36,0.47,2,136,3,0,0,1
hr,US,12/24/2004,"low, 48000",0.82,0.84,3,194,3,0,0,0
product_mng,Canada,01/02/2005,"medium, 64000",0.23,0.94,5,242,4,0,0,0
marketing,Europe,21/04/2006,"medium, 73000",0.99,0.68,5,264,10,1,0,0
product_mng,US,10/25/2017,"low, 59000",0.39,0.5,2,142,3,0,0,1
IT,US,06/15/2016,"medium, 86000",0.65,0.63,4,143,8,0,0,0
sales,US,09/23/2016,"low, 34000",0.84,0.84,6,261,5,0,0,0
marketing,US,02/06/2016,"low, 60000",0.68,0.54,3,270,4,1,0,0
support,Canada,27/01/2018,"low, 45000",0.76,0.56,3,154,2,0,0,0
accounting,US,11/12/2005,"low, 38000",0.92,0.85,3,207,2,0,0,0
technical,US,07/07/2010,"low, 50000",0.65,0.92,4,242,2,0,0,0
technical,US,01/17/2016,"medium, 86000",0.42,0.57,2,159,3,0,0,1
marketing,US,10/14/2016,"low, 35000",0.53,0.37,3,180,3,0,0,0
support,US,12/02/2006,"medium, 73000",0.9,0.74,4,218,2,1,0,0
support,US,12/20/2003,"medium, 87000",0.37,0.54,2,152,3,0,0,1
marketing,US,12/21/1999,"medium, 79000",0.73,0.99,5,241,5,0,0,1
sales,US,12/09/2001,"medium, 84000",0.88,0.62,4,138,3,0,0,0
sales,US,07/10/2016,"medium, 80000",0.91,0.49,6,272,6,0,0,0
sales,US,04/12/2017,"low, 38000",0.1,0.94,7,281,4,0,0,1
support,Canada,21/02/2015,"low, 34000",0.86,0.71,5,273,3,0,0,0
technical,US,05/04/2002,"medium, 70000",0.89,0.39,6,190,3,1,0,0
technical,US,07/21/2015,"medium, 89000",0.92,0.65,4,135,3,0,0,0
technical,US,09/11/2007,"medium, 70000",0.14,0.73,7,282,5,0,0,1
sales,US,01/18/2004,"medium, 87000",0.16,0.63,5,266,7,0,0,0
support,US,07/28/2009,"low, 60000",0.96,0.94,3,182,3,0,0,0
IT,US,05/23/2004,"low, 36000",0.9,1,2,114,5,0,0,0
technical,US,12/27/1989,"low, 60000",0.66,0.83,4,266,3,1,0,0
IT,US,09/19/2010,"low, 48000",0.57,0.66,4,158,2,0,0,0
RandD,Europe,09/06/2016,"medium, 68000",0.61,0.84,5,104,4,0,0,0
technical,US,09/22/2001,"low, 36000",0.75,0.81,5,227,5,0,0,1
hr,US,10/14/2009,"medium, 77000",0.52,0.38,2,103,3,0,0,0
marketing,US,07/06/2001,"medium, 77000",0.84,0.62,4,152,3,0,0,0
sales,Europe,24/06/2017,"low, 52000",0.91,0.81,4,139,2,0,0,0
sales,US,10/05/2002,"medium, 70000",0.81,0.94,3,225,4,0,0,0
support,US,12/30/2017,"medium, 62000",0.45,0.66,3,111,4,0,0,0
sales,US,12/11/2017,"medium, 64000",0.44,0.45,2,132,3,0,0,1
support,US,01/02/2016,"low, 42000",0.67,0.64,3,198,2,1,0,0
product_mng,US,09/29/2002,"low, 37000",0.27,0.82,4,276,2,0,0,0
marketing,US,07/07/2017,"low, 52000",0.62,0.94,4,252,4,0,0,0
product_mng,US,07/13/2000,"high, 185000",0.82,0.82,3,164,3,0,0,0
technical,US,07/04/2009,"low, 33000",1,0.99,4,184,4,0,0,0
sales,US,11/07/2017,"low, 50000",0.37,0.52,2,143,3,0,0,1
hr,Canada,16/10/2012,"medium, 79000",0.86,0.91,4,234,3,1,0,0
marketing,US,01/09/2018,"medium, 85000",0.38,0.52,2,171,3,0,0,0
technical,Europe,22/06/1999,"medium, 86000",0.59,0.37,3,125,2,0,0,0
sales,US,04/07/2015,"low, 52000",0.73,0.95,3,156,2,0,0,0
support,US,05/31/2015,"low, 44000",0.86,0.62,4,186,3,0,0,0
support,US,06/15/2015,"low, 39000",0.61,0.5,4,217,4,1,0,0
accounting,US,02/14/2017,"low, 51000",0.78,0.89,5,274,6,0,0,1
sales,US,12/30/2004,"medium, 73000",0.76,0.57,4,266,3,0,0,0
sales,US,01/05/2017,"medium, 84000",0.1,0.79,6,291,4,0,0,1
management,US,07/21/2008,"low, 56000",0.41,0.48,2,139,3,0,0,1
technical,APAC,02/06/2017,"medium, 80000",0.77,0.85,5,276,5,0,0,1
support,Europe,14/02/1990,"low, 30000",0.57,0.88,4,140,2,0,0,0
IT,US,10/14/2016,"low, 58000",0.8,0.8,3,271,4,0,0,0
support,US,10/15/2003,"medium, 79000",0.42,0.38,2,139,4,0,0,0
technical,US,02/25/2009,"low, 37000",0.39,0.53,2,131,3,0,0,1
sales,US,05/28/2010,"medium, 76000",0.92,0.51,4,167,3,1,0,0
RandD,US,12/26/2015,"low, 51000",0.6,0.52,5,140,3,0,0,0
support,Canada,09/02/2016,"low, 56000",0.09,0.8,6,301,5,0,0,1
product_mng,US,09/07/2015,"medium, 61000",0.8,0.58,4,189,2,0,0,0
sales,Canada,20/08/2008,"medium, 74000",0.47,0.6,4,263,5,0,0,0
support,Canada,06/05/2013,"medium, 64000",0.22,0.84,3,131,5,1,0,0
sales,US,09/07/2017,"medium, 88000",0.44,0.48,2,158,3,0,0,1
technical,US,09/08/2017,"low, 58000",0.9,0.98,2,243,3,0,0,0
sales,US,06/18/2005,"low, 39000",0.71,0.68,4,242,4,0,0,0
RandD,US,10/07/2016,"medium, 89000",0.6,0.95,5,205,3,0,0,0
management,US,10/22/2016,"high, 139000",0.11,0.9,6,264,4,0,0,1
sales,US,02/23/2017,"medium, 81000",0.44,0.51,2,140,3,0,0,1
sales,US,04/19/2017,"medium, 64000",0.69,0.89,4,174,2,0,0,0
support,US,06/06/2007,"medium, 84000",0.72,0.65,5,151,3,0,0,0
product_mng,US,01/11/2009,"low, 33000",0.54,0.51,4,137,4,0,1,0
RandD,Europe,24/12/2011,"medium, 67000",0.96,0.63,4,142,4,0,0,0
hr,US,08/25/2015,"medium, 67000",0.64,0.5,3,146,3,0,0,0
sales,Europe,12/10/2016,"medium, 85000",0.82,0.84,3,139,2,1,0,0
IT,US,11/29/2016,"medium, 66000",0.43,0.51,2,136,3,0,0,1
support,Europe,04/02/2002,"low, 40000",0.63,0.93,4,233,3,0,0,0
sales,US,02/04/2006,"low, 46000",0.41,0.56,2,154,3,0,0,1
technical,Europe,13/01/2006,"medium, 90000",0.54,0.68,6,249,5,0,0,0
marketing,US,03/22/2002,"medium, 84000",0.4,0.47,2,136,3,0,0,1
sales,US,10/27/2002,"high, 152000",0.76,0.86,5,223,5,1,0,1
technical,US,09/18/2009,"low, 46000",0.62,0.7,4,141,4,0,0,0
accounting,US,07/23/2015,"low, 52000",0.39,0.55,2,159,3,0,0,1
sales,US,04/29/2016,"medium, 63000",0.92,0.97,4,199,3,0,0,0
support,Europe,22/04/2015,"medium, 80000",0.77,0.9,4,237,5,0,0,1
sales,Europe,19/10/2017,"medium, 84000",0.52,0.53,2,163,2,0,0,0
sales,US,04/28/2006,"low, 41000",0.82,0.5,3,198,4,0,0,0
technical,US,01/27/2016,"low, 60000",0.63,0.86,4,169,2,0,0,0
sales,US,12/22/2016,"medium, 63000",0.47,0.55,4,122,5,1,0,0
sales,US,11/25/2003,"low, 42000",0.41,0.56,2,143,3,0,0,1
sales,US,11/30/2012,"low, 35000",0.89,0.66,4,252,3,0,0,0
sales,US,02/11/2015,"low, 54000",0.97,0.68,3,185,2,0,0,0
IT,US,09/17/2015,"low, 51000",0.49,0.67,2,190,8,0,0,0
support,Europe,03/09/2017,"low, 44000",0.93,0.48,3,147,3,0,0,0
technical,Europe,28/02/2016,"high, 206000",0.54,0.64,3,190,7,0,0,0
support,US,02/18/2007,"low, 40000",0.88,0.75,5,152,3,0,0,0
hr,US,01/12/2008,"low, 57000",0.63,0.64,3,180,3,0,0,0
technical,US,01/22/2010,"low, 33000",0.89,0.77,3,144,3,0,0,0
RandD,Canada,22/07/2015,"high, 150000",0.66,0.96,3,175,2,0,0,0
sales,US,12/18/2009,"low, 55000",0.62,0.49,4,174,3,0,0,0
technical,US,01/08/2009,"medium, 80000",0.67,0.57,4,165,3,0,0,0
sales,US,07/15/2003,"medium, 87000",0.69,0.89,5,201,2,0,0,0
support,US,06/24/2005,"low, 31000",0.92,0.53,3,238,2,0,0,0
sales,Europe,01/12/2004,"low, 44000",0.13,0.61,5,198,5,0,0,0
sales,US,08/30/2002,"medium, 89000",0.73,0.79,4,208,5,0,0,0
support,Europe,22/07/2008,"medium, 61000",0.75,0.82,3,227,2,0,0,0
product_mng,US,04/03/2016,"medium, 86000",0.55,0.63,4,218,2,0,0,0
support,US,01/18/2016,"low, 40000",0.24,0.58,5,279,4,0,0,0
hr,US,08/07/2016,"medium, 61000",0.73,0.59,3,219,2,0,0,0
technical,US,04/19/2005,"medium, 72000",0.77,0.93,5,182,4,0,0,0
sales,US,12/01/2010,"low, 60000",0.5,0.59,3,260,3,0,0,0
technical,US,09/06/2001,"medium, 67000",0.09,0.95,7,256,4,0,0,1
product_mng,US,12/06/2015,"low, 31000",0.91,0.97,4,183,3,0,0,0
technical,US,10/28/2015,"low, 47000",0.98,0.89,4,218,2,0,0,0
sales,US,03/27/2017,"medium, 88000",0.36,0.46,2,157,3,0,0,1
sales,US,02/04/2008,"medium, 82000",0.93,0.65,5,201,3,0,0,0
accounting,US,01/08/2007,"medium, 86000",0.38,0.54,2,150,3,0,0,1
sales,US,12/05/2007,"low, 60000",0.81,0.79,5,135,3,0,0,0
management,US,04/04/2009,"medium, 87000",0.71,0.89,3,222,3,0,0,0
sales,US,03/03/2001,"low, 46000",0.67,0.65,5,156,2,0,0,0
hr,APAC,30/07/2003,"low, 36000",0.85,0.95,5,236,5,0,0,1
IT,US,12/26/2002,"medium, 76000",0.48,0.97,4,141,2,0,0,0
sales,Europe,20/09/2008,"medium, 66000",0.9,0.59,6,269,4,1,0,0
RandD,US,06/07/2016,"medium, 90000",0.56,0.54,4,191,2,1,1,0
sales,Canada,01/06/2003,"medium, 65000",0.39,0.52,2,148,3,1,0,1
marketing,US,12/16/2005,"medium, 61000",0.19,0.36,3,167,5,0,0,0
technical,US,03/26/2016,"low, 51000",0.63,0.67,5,169,2,0,0,0
sales,US,12/13/2015,"low, 57000",0.11,0.92,7,307,4,0,0,1
support,US,04/10/2015,"medium, 70000",0.74,0.93,5,140,3,0,0,0
accounting,US,04/06/2003,"low, 31000",0.95,0.4,5,286,4,0,0,0
support,US,04/24/2015,"low, 35000",0.71,0.84,3,139,2,0,0,0
sales,US,02/21/2004,"high, 146000",0.63,0.59,3,155,3,1,0,0
sales,US,07/11/2016,"low, 53000",0.53,0.71,4,227,3,0,0,0
management,US,12/26/2016,"low, 57000",0.54,0.37,2,176,2,0,0,0
marketing,US,11/12/2017,"low, 35000",0.43,0.53,2,146,3,0,0,1
IT,Europe,25/12/2016,"medium, 81000",0.42,0.53,2,131,3,0,0,1
sales,US,02/24/2016,"medium, 74000",0.45,0.57,2,148,3,0,0,1
technical,US,07/29/2014,"low, 53000",0.49,0.54,4,247,3,1,0,0
sales,US,05/16/2015,"medium, 76000",0.44,0.68,2,120,2,0,0,0
marketing,US,05/16/2009,"high, 122000",0.48,0.39,4,272,3,0,0,0
support,US,03/15/2005,"low, 58000",0.9,0.63,4,134,3,1,0,0
management,Europe,18/10/2015,"medium, 78000",0.42,0.53,3,181,5,0,0,0
support,Canada,20/10/2006,"medium, 87000",0.43,0.46,2,126,3,0,0,1
IT,US,03/12/2001,"low, 35000",0.94,0.73,3,268,10,0,0,0
sales,Canada,12/05/2007,"medium, 81000",0.7,0.76,4,173,2,0,0,0
technical,US,09/18/2015,"medium, 98000",0.62,0.81,3,245,2,1,0,0
IT,US,10/07/2003,"medium, 72000",0.6,0.82,3,143,3,0,0,0
support,Europe,21/01/1993,"low, 60000",0.76,0.58,4,188,3,0,0,0
hr,US,07/06/2008,"low, 39000",0.37,0.63,4,167,3,0,0,0
support,US,07/17/2008,"medium, 65000",0.99,0.67,5,153,2,0,0,0
technical,US,09/13/2015,"low, 47000",0.61,0.7,4,161,3,1,0,0
technical,US,12/10/2015,"low, 50000",0.95,0.88,3,199,3,0,0,0
technical,US,08/28/2009,"low, 45000",0.57,0.91,4,224,10,0,0,0
technical,US,10/16/2011,"low, 43000",0.1,0.77,5,276,4,0,0,1
technical,US,03/08/2017,"medium, 90000",0.98,0.42,5,226,3,0,0,0
sales,US,08/20/2016,"high, 126000",0.15,0.53,4,205,5,1,0,0
sales,US,12/25/2016,"medium, 65000",0.9,0.49,3,259,6,0,0,0
technical,US,02/08/2016,"medium, 77000",0.48,0.53,3,211,4,0,0,0
marketing,US,06/08/2016,"medium, 74000",0.73,0.59,6,121,5,0,0,0
sales,US,05/16/2010,"low, 58000",0.11,0.91,7,287,4,0,0,1
sales,US,10/31/2001,"medium, 66000",0.82,0.62,4,267,3,1,0,0
technical,US,02/17/2007,"medium, 89000",0.84,0.77,4,262,4,0,0,0
technical,APAC,25/11/2003,"low, 54000",0.61,0.75,3,140,3,0,0,0
technical,US,02/12/2001,"medium, 88000",0.96,0.51,4,237,3,0,0,0
